ts,step,kv_cache_usage,running,waiting,preemptions_total
1789873071,depthconc-c2-d32768,0.0,0.0,0.0,0.0
1789873077,depthconc-c2-d32768,0.0,0.0,0.0,0.0
1789873082,depthconc-c2-d32768,0.0,0.0,1.0,0.0
1789873088,depthconc-c2-d32768,0.09684210526315784,2.0,0.0,0.0
1789873101,depthconc-c2-d32768,0.16210526315789475,2.0,0.0,0.0
1789873107,depthconc-c2-d32768,0.17263157894736847,2.0,0.0,0.0
1789873113,depthconc-c2-d32768,0.19157894736842107,2.0,0.0,0.0
1789873119,depthconc-c2-d32768,0.20631578947368423,2.0,0.0,0.0
1789873124,depthconc-c2-d32768,0.0,0.0,0.0,0.0
1789873129,depthconc-c2-d32768,0.05894736842105264,1.0,1.0,0.0
1789873134,depthconc-c2-d32768,0.07789473684210524,1.0,1.0,0.0
1789873141,depthconc-c2-d32768,0.14315789473684215,2.0,0.0,0.0
1789873147,depthconc-c2-d32768,0.14315789473684215,2.0,0.0,0.0
1789873153,depthconc-c2-d32768,0.16210526315789475,2.0,0.0,0.0
1789873158,depthconc-c2-d32768,0.17263157894736847,2.0,0.0,0.0
1789873165,depthconc-c2-d32768,0.20631578947368423,2.0,0.0,0.0
1789873173,depthconc-c2-d32768,0.0,1.0,1.0,0.0
1789873183,depthconc-c2-d32768,0.07789473684210524,1.0,1.0,0.0
1789873188,depthconc-c2-d32768,0.09684210526315784,1.0,1.0,0.0
1789873194,depthconc-c2-d32768,0.14315789473684215,2.0,0.0,0.0
1789873199,depthconc-c2-d32768,0.16210526315789475,2.0,0.0,0.0
1789873205,depthconc-c2-d32768,0.17263157894736847,2.0,0.0,0.0
1789873211,depthconc-c2-d32768,0.2042105263157895,2.0,0.0,0.0
1789873216,depthconc-c2-d32768,0.0,0.0,0.0,0.0
1789873222,depthconc-c2-d32768,0.0,0.0,0.0,0.0
1789873227,depthconc-c2-d32768,0.07789473684210524,1.0,1.0,0.0
1789873232,depthconc-c2-d32768,,2.0,0.0,0.0
1789873249,depthconc-c2-d32768,0.17263157894736847,2.0,0.0,0.0
1789873254,depthconc-c2-d32768,0.19157894736842107,2.0,0.0,0.0
1789873266,depthconc-c4-d32768,0.0,0.0,0.0,0.0
1789873272,depthconc-c4-d32768,0.0,0.0,0.0,0.0
1789873277,depthconc-c4-d32768,0.05894736842105264,1.0,3.0,0.0
1789873282,depthconc-c4-d32768,0.07789473684210524,1.0,3.0,0.0
1789873287,depthconc-c4-d32768,0.09684210526315784,1.0,3.0,0.0
1789873293,depthconc-c4-d32768,0.16210526315789475,2.0,2.0,0.0
1789873305,depthconc-c4-d32768,0.17263157894736847,2.0,2.0,0.0
1789873313,depthconc-c4-d32768,0.24,3.0,1.0,0.0
1789873319,depthconc-c4-d32768,0.26526315789473687,3.0,1.0,0.0
1789873324,depthconc-c4-d32768,0.28421052631578947,3.0,1.0,0.0
1789873329,depthconc-c4-d32768,0.2947368421052632,3.0,1.0,0.0
1789873337,depthconc-c4-d32768,0.3431578947368421,4.0,0.0,0.0
1789873342,depthconc-c4-d32768,0.368421052631579,4.0,0.0,0.0
1789873347,depthconc-c4-d32768,0.3873684210526316,4.0,0.0,0.0
1789873353,depthconc-c4-d32768,0.3978947368421053,4.0,0.0,0.0
1789873363,depthconc-c4-d32768,0.42105263157894735,4.0,0.0,0.0
1789873369,depthconc-c4-d32768,0.0,0.0,0.0,0.0
1789873374,depthconc-c4-d32768,0.0,0.0,0.0,0.0
1789873380,depthconc-c4-d32768,0.07789473684210524,1.0,3.0,0.0
1789873388,depthconc-c4-d32768,0.09684210526315784,1.0,3.0,0.0
1789873393,depthconc-c4-d32768,0.16210526315789475,2.0,2.0,0.0
1789873401,depthconc-c4-d32768,0.17263157894736847,2.0,2.0,0.0
1789873407,depthconc-c4-d32768,0.19157894736842107,2.0,2.0,0.0
1789873412,depthconc-c4-d32768,0.24,3.0,1.0,0.0
1789873422,depthconc-c4-d32768,0.28421052631578947,3.0,1.0,0.0
1789873427,depthconc-c4-d32768,0.28421052631578947,3.0,1.0,0.0
1789873432,depthconc-c4-d32768,0.3431578947368421,4.0,0.0,0.0
1789873443,depthconc-c4-d32768,0.368421052631579,4.0,0.0,0.0
1789873449,depthconc-c4-d32768,0.3873684210526316,4.0,0.0,0.0
1789873454,depthconc-c4-d32768,0.3978947368421053,4.0,0.0,0.0
1789873459,depthconc-c4-d32768,0.4273684210526316,4.0,0.0,0.0
1789873466,depthconc-c4-d32768,0.3221052631578948,3.0,0.0,0.0
1789873471,depthconc-c4-d32768,0.0,0.0,0.0,0.0
1789873477,depthconc-c4-d32768,0.05894736842105264,1.0,3.0,0.0
1789873483,depthconc-c4-d32768,0.09684210526315784,1.0,3.0,0.0
1789873489,depthconc-c4-d32768,0.14315789473684215,2.0,2.0,0.0
1789873497,depthconc-c4-d32768,0.16210526315789475,2.0,2.0,0.0
1789873503,depthconc-c4-d32768,0.17263157894736847,2.0,2.0,0.0
1789873508,depthconc-c4-d32768,0.19157894736842107,2.0,2.0,0.0
1789873514,depthconc-c4-d32768,0.24,3.0,1.0,0.0
1789873519,depthconc-c4-d32768,0.26526315789473687,3.0,1.0,0.0
1789873524,depthconc-c4-d32768,0.28421052631578947,3.0,1.0,0.0
