ts,step,kv_cache_usage,running,waiting,preemptions_total
1790005856,mixed-c0b-w1-n1-d131072,0.0,0.0,0.0,0.0
1790005862,mixed-c0b-w1-n1-d131072,0.02947368421052632,1.0,0.0,0.0
1790005867,mixed-c0b-w1-n1-d131072,0.02947368421052632,1.0,0.0,0.0
1790005872,mixed-c0b-w1-n1-d131072,0.02947368421052632,1.0,0.0,0.0
1790005877,mixed-c0b-w1-n1-d131072,0.02947368421052632,1.0,0.0,0.0
1790005882,mixed-c0b-w1-n1-d131072,0.02947368421052632,1.0,0.0,0.0
1790005887,mixed-c0b-w1-n1-d131072,0.06947368421052635,2.0,0.0,0.0
1790005892,mixed-c0b-w1-n1-d131072,0.08842105263157896,2.0,0.0,0.0
1790005897,mixed-c0b-w1-n1-d131072,0.13684210526315788,3.0,0.0,0.0
1790005902,mixed-c0b-w1-n1-d131072,0.15578947368421048,3.0,0.0,0.0
1790005907,mixed-c0b-w1-n1-d131072,0.1747368421052632,3.0,0.0,0.0
1790005912,mixed-c0b-w1-n1-d131072,0.1747368421052632,3.0,0.0,0.0
1790005917,mixed-c0b-w1-n1-d131072,0.1936842105263158,3.0,0.0,0.0
1790005922,mixed-c0b-w1-n1-d131072,0.2126315789473684,3.0,0.0,0.0
1790005927,mixed-c0b-w1-n1-d131072,0.2315789473684211,3.0,0.0,0.0
1790005932,mixed-c0b-w1-n1-d131072,0.2505263157894737,3.0,0.0,0.0
1790005937,mixed-c0b-w1-n1-d131072,0.2505263157894737,3.0,0.0,0.0
1790005942,mixed-c0b-w1-n1-d131072,0.2694736842105263,3.0,0.0,0.0
1790005947,mixed-c0b-w1-n1-d131072,0.2589473684210526,2.0,0.0,0.0
1790005952,mixed-c0b-w1-n1-d131072,0.2778947368421053,2.0,0.0,0.0
1790005957,mixed-c0b-w1-n1-d131072,0.2778947368421053,2.0,0.0,0.0
1790005962,mixed-c0b-w1-n1-d131072,0.2968421052631579,2.0,0.0,0.0
1790005967,mixed-c0b-w1-n1-d131072,0.3452631578947368,3.0,0.0,0.0
1790005972,mixed-c0b-w1-n1-d131072,0.3452631578947368,3.0,0.0,0.0
1790005977,mixed-c0b-w1-n1-d131072,0.3789473684210526,3.0,0.0,0.0
1790005982,mixed-c0b-w1-n1-d131072,0.02947368421052632,1.0,0.0,0.0
1790005988,mixed-c0b-w1-n1-d131072,0.02947368421052632,1.0,0.0,0.0
1790005993,mixed-c0b-w1-n1-d131072,0.02947368421052632,1.0,0.0,0.0
1790005998,mixed-c0b-w1-n1-d131072,0.02947368421052632,1.0,0.0,0.0
1790006003,mixed-c0b-w1-n1-d131072,0.02947368421052632,1.0,0.0,0.0
1790006008,mixed-c0b-w1-n1-d131072,0.03157894736842104,1.0,0.0,0.0
1790006013,mixed-c0b-w1-n1-d131072,0.03157894736842104,1.0,0.0,0.0
1790006018,mixed-c0b-w1-n1-d131072,0.03157894736842104,1.0,0.0,0.0
1790006023,mixed-c0b-w1-n1-d131072,0.03157894736842104,1.0,0.0,0.0
1790006028,mixed-c0b-w1-n1-d131072,0.03157894736842104,1.0,0.0,0.0
1790006033,mixed-c0b-w1-n1-d131072,0.03157894736842104,1.0,0.0,0.0
1790006038,mixed-c0b-w1-n1-d131072,0.03157894736842104,1.0,0.0,0.0
1790006043,mixed-c0b-w1-n1-d131072,0.03157894736842104,1.0,0.0,0.0
1790006048,mixed-c0b-w1-n1-d131072,0.03157894736842104,1.0,0.0,0.0
1790006053,mixed-c0b-w1-n1-d131072,0.03157894736842104,1.0,0.0,0.0
1790006058,mixed-c0b-w1-n1-d131072,0.03157894736842104,1.0,0.0,0.0
1790006063,mixed-c0b-w1-n1-d131072,0.03157894736842104,1.0,0.0,0.0
1790006068,mixed-c0b-w1-n1-d131072,0.03368421052631576,1.0,0.0,0.0
1790006073,mixed-c0b-w1-n1-d131072,0.03368421052631576,1.0,0.0,0.0
1790006078,mixed-c0b-w1-n1-d131072,0.03368421052631576,1.0,0.0,0.0
1790006083,mixed-c0b-w1-n1-d131072,0.03368421052631576,1.0,0.0,0.0
1790006088,mixed-c0b-w1-n1-d131072,0.03368421052631576,1.0,0.0,0.0
1790006093,mixed-c0b-w1-n1-d131072,0.03368421052631576,1.0,0.0,0.0
1790006098,mixed-c0b-w1-n1-d131072,0.03368421052631576,1.0,0.0,0.0
1790006103,mixed-c0b-w1-n1-d131072,0.03368421052631576,1.0,0.0,0.0
1790006108,mixed-c0b-w1-n1-d131072,0.03368421052631576,1.0,0.0,0.0
1790006113,mixed-c0b-w1-n1-d131072,0.03368421052631576,1.0,0.0,0.0
1790006118,mixed-c0b-w1-n1-d131072,0.03578947368421048,1.0,0.0,0.0
1790006124,mixed-c0b-w1-n1-d131072,0.03578947368421048,1.0,0.0,0.0
1790006129,mixed-c0b-w1-n1-d131072,0.03578947368421048,1.0,0.0,0.0
1790006134,mixed-c0b-w1-n1-d131072,0.03578947368421048,1.0,0.0,0.0
1790006139,mixed-c0b-w1-n1-d131072,0.03578947368421048,1.0,0.0,0.0
1790006144,mixed-c0b-w1-n1-d131072,0.03578947368421048,1.0,0.0,0.0
1790006149,mixed-c0b-w1-n1-d131072,0.03578947368421048,1.0,0.0,0.0
1790006154,mixed-c0b-w1-n1-d131072,0.03578947368421048,1.0,0.0,0.0
1790006159,mixed-c0b-w1-n1-d131072,0.03578947368421048,1.0,0.0,0.0
1790006164,mixed-c0b-w1-n1-d131072,0.037894736842105314,1.0,0.0,0.0
1790006169,mixed-c0b-w1-n1-d131072,0.037894736842105314,1.0,0.0,0.0
1790006174,mixed-c0b-w1-n1-d131072,0.037894736842105314,1.0,0.0,0.0
1790006179,mixed-c0b-w1-n1-d131072,0.037894736842105314,1.0,0.0,0.0
1790006184,mixed-c0b-w1-n1-d131072,0.037894736842105314,1.0,0.0,0.0
1790006189,mixed-c0b-w1-n1-d131072,0.037894736842105314,1.0,0.0,0.0
1790006194,mixed-c0b-w1-n1-d131072,0.037894736842105314,1.0,0.0,0.0
1790006199,mixed-c0b-w1-n1-d131072,0.037894736842105314,1.0,0.0,0.0
1790006204,mixed-c0b-w1-n1-d131072,0.037894736842105314,1.0,0.0,0.0
1790006209,mixed-c0b-w1-n1-d131072,0.037894736842105314,1.0,0.0,0.0
1790006214,mixed-c0b-w1-n1-d131072,0.040000000000000036,1.0,0.0,0.0
1790006219,mixed-c0b-w1-n1-d131072,0.040000000000000036,1.0,0.0,0.0
