ts,step,kv_cache_usage,running,waiting,preemptions_total
1790008140,mixed-c1-w1p-n1-d131072,0.0,0.0,0.0,0.0
1790008145,mixed-c1-w1p-n1-d131072,0.02692307692307694,1.0,0.0,0.0
1790008150,mixed-c1-w1p-n1-d131072,0.02692307692307694,1.0,0.0,0.0
1790008155,mixed-c1-w1p-n1-d131072,0.02692307692307694,1.0,0.0,0.0
1790008160,mixed-c1-w1p-n1-d131072,0.02692307692307694,1.0,0.0,0.0
1790008165,mixed-c1-w1p-n1-d131072,0.06730769230769229,2.0,0.0,0.0
1790008170,mixed-c1-w1p-n1-d131072,0.07692307692307687,2.0,0.0,0.0
1790008175,mixed-c1-w1p-n1-d131072,0.1134615384615385,3.0,0.0,0.0
1790008180,mixed-c1-w1p-n1-d131072,0.09423076923076923,2.0,0.0,0.0
1790008186,mixed-c1-w1p-n1-d131072,0.10384615384615381,2.0,0.0,0.0
1790008191,mixed-c1-w1p-n1-d131072,0.1384615384615384,3.0,0.0,0.0
1790008196,mixed-c1-w1p-n1-d131072,0.11923076923076925,2.0,0.0,0.0
1790008201,mixed-c1-w1p-n1-d131072,0.12884615384615383,2.0,0.0,0.0
1790008206,mixed-c1-w1p-n1-d131072,0.16346153846153844,3.0,0.0,0.0
1790008211,mixed-c1-w1p-n1-d131072,0.14423076923076927,2.0,0.0,0.0
1790008216,mixed-c1-w1p-n1-d131072,0.15192307692307694,2.0,0.0,0.0
1790008221,mixed-c1-w1p-n1-d131072,0.18653846153846154,3.0,0.0,0.0
1790008226,mixed-c1-w1p-n1-d131072,0.16730769230769227,2.0,0.0,0.0
1790008231,mixed-c1-w1p-n1-d131072,0.17500000000000004,2.0,0.0,0.0
1790008236,mixed-c1-w1p-n1-d131072,0.20961538461538465,3.0,0.0,0.0
1790008241,mixed-c1-w1p-n1-d131072,0.19038461538461537,2.0,0.0,0.0
1790008246,mixed-c1-w1p-n1-d131072,0.19807692307692304,2.0,0.0,0.0
1790008251,mixed-c1-w1p-n1-d131072,0.23269230769230764,3.0,0.0,0.0
1790008256,mixed-c1-w1p-n1-d131072,0.20576923076923082,2.0,0.0,0.0
1790008261,mixed-c1-w1p-n1-d131072,0.02692307692307694,1.0,0.0,0.0
1790008266,mixed-c1-w1p-n1-d131072,0.02692307692307694,1.0,0.0,0.0
1790008271,mixed-c1-w1p-n1-d131072,0.02692307692307694,1.0,0.0,0.0
1790008276,mixed-c1-w1p-n1-d131072,0.02692307692307694,1.0,0.0,0.0
1790008281,mixed-c1-w1p-n1-d131072,0.028846153846153855,1.0,0.0,0.0
1790008286,mixed-c1-w1p-n1-d131072,0.028846153846153855,1.0,0.0,0.0
1790008291,mixed-c1-w1p-n1-d131072,0.028846153846153855,1.0,0.0,0.0
1790008296,mixed-c1-w1p-n1-d131072,0.028846153846153855,1.0,0.0,0.0
1790008301,mixed-c1-w1p-n1-d131072,0.028846153846153855,1.0,0.0,0.0
1790008306,mixed-c1-w1p-n1-d131072,0.028846153846153855,1.0,0.0,0.0
1790008311,mixed-c1-w1p-n1-d131072,0.028846153846153855,1.0,0.0,0.0
1790008316,mixed-c1-w1p-n1-d131072,0.028846153846153855,1.0,0.0,0.0
1790008321,mixed-c1-w1p-n1-d131072,0.028846153846153855,1.0,0.0,0.0
1790008326,mixed-c1-w1p-n1-d131072,0.028846153846153855,1.0,0.0,0.0
1790008331,mixed-c1-w1p-n1-d131072,0.028846153846153855,1.0,0.0,0.0
1790008337,mixed-c1-w1p-n1-d131072,0.03076923076923077,1.0,0.0,0.0
1790008342,mixed-c1-w1p-n1-d131072,0.03076923076923077,1.0,0.0,0.0
1790008347,mixed-c1-w1p-n1-d131072,0.03076923076923077,1.0,0.0,0.0
1790008352,mixed-c1-w1p-n1-d131072,0.03076923076923077,1.0,0.0,0.0
1790008357,mixed-c1-w1p-n1-d131072,0.03076923076923077,1.0,0.0,0.0
1790008362,mixed-c1-w1p-n1-d131072,0.03076923076923077,1.0,0.0,0.0
1790008367,mixed-c1-w1p-n1-d131072,0.03076923076923077,1.0,0.0,0.0
1790008372,mixed-c1-w1p-n1-d131072,0.03076923076923077,1.0,0.0,0.0
1790008377,mixed-c1-w1p-n1-d131072,0.03076923076923077,1.0,0.0,0.0
1790008382,mixed-c1-w1p-n1-d131072,0.03076923076923077,1.0,0.0,0.0
1790008387,mixed-c1-w1p-n1-d131072,0.03269230769230769,1.0,0.0,0.0
1790008392,mixed-c1-w1p-n1-d131072,0.03269230769230769,1.0,0.0,0.0
1790008397,mixed-c1-w1p-n1-d131072,0.03269230769230769,1.0,0.0,0.0
1790008402,mixed-c1-w1p-n1-d131072,0.03269230769230769,1.0,0.0,0.0
1790008407,mixed-c1-w1p-n1-d131072,0.03269230769230769,1.0,0.0,0.0
1790008412,mixed-c1-w1p-n1-d131072,0.03269230769230769,1.0,0.0,0.0
1790008417,mixed-c1-w1p-n1-d131072,0.03269230769230769,1.0,0.0,0.0
1790008422,mixed-c1-w1p-n1-d131072,0.03269230769230769,1.0,0.0,0.0
1790008427,mixed-c1-w1p-n1-d131072,0.03269230769230769,1.0,0.0,0.0
1790008432,mixed-c1-w1p-n1-d131072,0.03269230769230769,1.0,0.0,0.0
1790008437,mixed-c1-w1p-n1-d131072,0.03269230769230769,1.0,0.0,0.0
1790008442,mixed-c1-w1p-n1-d131072,0.0346153846153846,1.0,0.0,0.0
1790008447,mixed-c1-w1p-n1-d131072,0.0346153846153846,1.0,0.0,0.0
1790008452,mixed-c1-w1p-n1-d131072,0.0346153846153846,1.0,0.0,0.0
1790008457,mixed-c1-w1p-n1-d131072,0.0346153846153846,1.0,0.0,0.0
1790008462,mixed-c1-w1p-n1-d131072,0.0346153846153846,1.0,0.0,0.0
1790008467,mixed-c1-w1p-n1-d131072,0.0346153846153846,1.0,0.0,0.0
1790008472,mixed-c1-w1p-n1-d131072,0.0346153846153846,1.0,0.0,0.0
1790008477,mixed-c1-w1p-n1-d131072,0.0346153846153846,1.0,0.0,0.0
1790008483,mixed-c1-w1p-n1-d131072,0.0346153846153846,1.0,0.0,0.0
1790008488,mixed-c1-w1p-n1-d131072,0.0346153846153846,1.0,0.0,0.0
1790008493,mixed-c1-w1p-n1-d131072,0.0346153846153846,1.0,0.0,0.0
1790008498,mixed-c1-w1p-n1-d131072,0.044230769230769185,1.0,0.0,0.0
1790008503,mixed-c1-w1p-n1-d131072,0.03653846153846152,1.0,0.0,0.0
1790008508,mixed-c1-w1p-n1-d131072,0.03653846153846152,1.0,0.0,0.0
